SITO	CHIAVE	PATH	LABEL	PAGE_ID	PATH_2	LABEL_2	PAGE_ID_2	PATH_3	LABEL_3	PAGE_ID_3	PATH_4	LABEL_4	PAGE_ID_4	PATH_5	LABEL_5	PAGE_ID_5	PATH_6	LABEL_6	PAGE_ID_6
ebay.co.uk	618-notebook	//td[contains(.,"MPN:") and @class="attrLabels"]/following-sibling::node()/span/text()	MPN	1	//td[contains(.,"UPC:") and @class="attrLabels"]/following-sibling::node()/span/text()	UPC	1												
ebay.com	619-tv	//td[contains(.,"MPN:") and @class="attrLabels"]/following-sibling::node()/span/text()	MPN	1	//td[contains(.,"UPC:") and @class="attrLabels"]/following-sibling::node()/span/text()	UPC	1												
ebay.com.au	620-camera	//td[contains(.,"MPN:") and @class="attrLabels"]/following-sibling::node()/span/text()	MPN	1	//td[contains(.,"UPC:") and @class="attrLabels"]/following-sibling::node()/span/text()	UPC	1												
eds-tv.com	622-TV Stands & Tables	//b[contains(.,"UPC Code:")]/following-sibling::text()[1]	UPC	1															
electronicsexpress.com	630-see Tablet Deals	//*[@class="description-bottom"]/h4/text()	Product Number	1	//*[@class="product-description"]//li[contains(.,"Part #")]/text()	Part #	1	//*[@id="product-main-content"]/div[6]/div[3]/div[1]/h3[1]		0	//*[@id="product-main-content"]/div[6]/div[3]/div[2]/h3[1]		0	//*[@id="product-main-content"]/div[6]/div[3]/div[3]/h3[1]		0	//*[@id="product-main-content"]/div[6]/div[3]/div[4]/h3[1]		0
en.smartbuyglasses.com.hk	632-sunglasses	//*[@itemprop="gtin13"]/text()	UPC	1															
eprice.it	634-software	//*[@id="ftenhance"]/strong/text()		1															
evatech.com.au	636-Keyboards & Mice	//*[@id="product_reference"]/span/text()	Reference	1															
express.com	637-sunglasses	//*[@id="breadcrumbs"]/ul/li[3]/span/text()		1															
fishpond.com.au	643-cutlery	//*[@id="product_info_area"]/table/tbody/tr[1]/td/table/tbody/tr/td[2]/table[2]/tbody/tr[1]/td/text()		1															
fumfie.com	680-Bundles	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::node()/text()	SKU	1	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::text()	MPN	1	//div[@class="itemContentMPN"]/b[contains(.,"UPC")]/following-sibling::node()/text()		1									
fumfie.com	681-Mirrorless Camera	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::node()/text()	SKU	1	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::text()	MPN	1	//div[@class="itemContentMPN"]/b[contains(.,"UPC")]/following-sibling::node()/text()		1									
fumfie.com	682-camera	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::node()/text()	SKU	1	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::text()	MPN	1	//div[@class="itemContentMPN"]/b[contains(.,"UPC")]/following-sibling::node()/text()		1									
futureshop.ca	683-tv	//*[@id="ctl00_CP_ctl00_PD_lblModelNumber"]	Model #	1	//*[@id="ctl00_CP_ctl00_PD_lblSku"]	Web Code	1												
geizhals.de	686-software	//*[@id="gh_proddesc"]/span/p[1]	EAN	1															
globalbrand.com.bd	687-monitor	//div[@class="description"]/p[2]/text()[3]	Product Code	1															
gsmserver.com	690-Spare Parts for Tablets	//*[@id="right-panel-content-wrapper"]/div[1]/div[1]/div[2]/div[5]/div[1]/div[1]/span[1]	ID	1															
h30094.www3.hp.com	696-monitor	//div[contains(./text(),"MFG") and contains(@class,"mfgPartNo")]/text()	MFG	1	(//div[contains(./text(),"MFG") and contains(@class,"compareDiv mfgNo")]/text())[1]	MFG_1	0	(//div[contains(./text(),"MFG") and contains(@class,"compareDiv mfgNo")]/text())[2]	MFG_2	0									
hdtvbonaza.com	697-tv	/html/body/div[2]/div[2]/div[1]/div[2]/div[2]/p																	